PREC,PREC,PREC,TEMP,UMID_MIN,UMID_MAX,RAD,PORT
0.2,0.2,0.8,2.4,95.0,96.0,0.0,0.06
0.8,0.4,0.6,2.3,96.0,96.0,0.0,0.05
0.2,0.4,0.6,2.1,96.0,96.0,0.0,0.06
0.2,0.0,0.4,1.8,96.0,96.0,0.0,0.05
0.0,0.0,0.0,-0.5,95.0,96.0,0.0,0.11
0.0,0.0,0.0,-0.6,96.0,96.0,0.0,0.11
0.0,0.0,0.0,-0.4,96.0,97.0,0.0,0.1
0.0,0.0,0.0,-0.4,96.0,96.0,0.0,0.1
0.0,0.0,0.0,-1.1,96.0,96.0,0.0,0.11
0.0,0.0,0.0,-1.8,96.0,96.0,0.0,0.1
0.0,0.0,0.0,-2.4,96.0,96.0,0.0,0.1
0.0,0.0,0.0,-3.0,95.0,96.0,0.0,0.1
0.0,0.0,0.0,-3.0,95.0,96.0,0.264,0.1
0.0,0.0,0.0,-3.0,95.0,95.0,0.552,0.09
0.0,0.0,0.0,-2.5,95.0,96.0,1.079,0.09
0.0,0.0,0.0,-1.1,96.0,97.0,1.556,0.09
0.0,0.0,0.0,4.3,64.0,99.0,1.625,0.1
0.0,0.0,0.0,7.0,47.0,52.0,1.55,0.1
0.0,0.0,0.0,6.2,52.0,54.0,0.891,0.1
0.0,0.0,0.0,4.9,59.0,68.0,0.163,0.1
0.0,0.0,0.0,2.8,71.0,80.0,0.088,0.1
0.0,0.0,0.0,0.9,83.0,85.0,0.0,0.1
0.0,0.0,0.0,1.1,85.0,87.0,0.0,0.1
0.0,0.0,0.0,2.3,74.0,80.0,0.0,0.1
0.0,0.0,0.0,2.1,73.0,74.0,0.0,0.09
0.0,0.0,0.0,1.9,74.0,74.0,0.0,0.1
0.0,0.0,0.0,1.6,75.0,76.0,0.0,0.1
0.0,0.0,0.0,1.2,76.0,76.0,0.0,0.09
0.0,0.0,0.0,0.9,76.0,78.0,0.0,0.09
0.0,0.0,0.0,-0.3,78.0,85.0,0.0,0.08
0.0,0.0,0.0,-1.1,86.0,89.0,0.0,0.09
0.0,0.0,0.0,-2.3,89.0,90.0,0.0,0.08
0.0,0.0,0.0,-3.2,91.0,92.0,0.0,0.09
0.0,0.0,0.0,-3.8,92.0,93.0,0.0,0.09
0.0,0.0,0.0,-4.3,92.0,93.0,0.0,0.08
0.0,0.0,0.0,-4.8,92.0,93.0,0.0,0.08
0.0,0.0,0.0,-4.7,92.0,94.0,0.301,0.08
0.0,0.0,0.0,-4.5,93.0,93.0,0.854,0.06
0.0,0.0,0.0,-3.9,92.0,93.0,1.343,0.06
0.0,0.0,0.0,-2.6,93.0,96.0,1.506,0.06
0.0,0.0,0.0,2.4,54.0,94.0,1.588,0.08
0.0,0.0,0.0,3.5,50.0,51.0,1.462,0.09
0.0,0.0,0.0,3.2,51.0,53.0,0.891,0.08
0.0,0.0,0.0,2.4,57.0,63.0,0.188,0.09
0.0,0.0,0.0,-0.2,68.0,78.0,0.019,0.08
0.0,0.0,0.0,-2.0,80.0,87.0,0.0,0.09
0.0,0.0,0.0,-2.8,88.0,90.0,0.0,0.08
0.0,0.0,0.0,-3.5,89.0,90.0,0.0,0.09
0.0,0.0,0.0,-3.8,91.0,92.0,0.0,0.08
0.0,0.0,0.0,-4.0,92.0,92.0,0.0,0.08
0.0,0.0,0.0,-4.4,91.0,92.0,0.0,0.09
0.0,0.0,0.0,-4.2,92.0,92.0,0.0,0.08
0.0,0.0,0.0,-4.5,92.0,93.0,0.0,0.09
0.0,0.0,0.0,-4.6,92.0,93.0,0.0,0.08
0.0,0.0,0.0,-4.9,92.0,92.0,0.0,0.08
0.0,0.0,0.0,-5.3,92.0,93.0,0.0,0.08
